id	line	sign	frame	seconds	date
10	a	-1	101	505	07/04 13:21:05
10	a	1	106	530	07/04 13:21:30
13	a	1	108	540	07/04 13:21:40
15	a	-1	132	660	07/04 13:23:40
15	a	1	139	695	07/04 13:24:15
15	a	-1	144	720	07/04 13:24:40
15	a	1	148	740	07/04 13:25:00
15	a	-1	150	750	07/04 13:25:10
19	a	-1	164	820	07/04 13:26:20
19	a	1	173	865	07/04 13:27:05
19	a	-1	175	875	07/04 13:27:15
2	a	-1	12	60	07/04 13:13:40
23	a	-1	300	1500	07/04 13:37:40
24	a	-1	381	1905	07/04 13:44:25
27	a	-1	422	2110	07/04 13:47:50
27	a	1	427	2135	07/04 13:48:15
29	a	-1	443	2215	07/04 13:49:35
30	a	-1	453	2265	07/04 13:50:25
35	a	-1	467	2335	07/04 13:51:35
36	a	-1	561	2805	07/04 13:59:25
36	a	1	566	2830	07/04 13:59:50
36	a	-1	591	2955	07/04 14:01:55
6	a	-1	47	235	07/04 13:16:35
7	a	-1	73	365	07/04 13:18:45
7	a	1	85	425	07/04 13:19:45
7	a	-1	88	440	07/04 13:20:00
7	a	1	90	450	07/04 13:20:10
8	a	-1	76	380	07/04 13:19:00
9	a	-1	90	450	07/04 13:20:10
9	a	1	94	470	07/04 13:20:30
9	a	-1	103	515	07/04 13:21:15
